CD_SETOR,CD_QUADRA,CD_FACE,NM_TIP_LOG,NM_TIT_LOG,NM_LOG,TOT_RES,TOT_GERAL
"352940105000021","004","001",RUA,MARECHAL,DEODORO DA FONSECA,"0","0"
"352940105000021","004","002",RUA,VICE PRESIDENTE,FRANCISCO SILVIANO ALVES BRANDAO,"1","1"
"352940105000021","004","003",RUA,VICE,PRESIDENTE URBANO SANTOS DA COSTA ARAUJO,"0","0"
"352940105000021","004","004",RUA,PRESIDENTE,NEREU RAMOS,"0","0"
"352940105000021","005","001",RUA,MARECHAL,DEODORO DA FONSECA,"5","5"
"352940105000021","005","002",RUA,PRESIDENTE,NEREU RAMOS,"10","11"
"352940105000021","005","003",RUA,VICE,PRESIDENTE URBANO SANTOS DA COSTA ARAUJO,"6","6"
"352940105000021","005","004",RUA,,JUCELINO KUBITSCHEK DE OLIVEIRA,"15","15"
"352940105000021","006","001",RUA,PRESIDENTE,CARLOS LUZ,"4","11"
"352940105000021","006","002",RUA,PRESIDENTE,NEREU RAMOS,"9","10"
"352940105000021","006","003",RUA,MARECHAL,DEODORO DA FONSECA,"5","6"
"352940105000021","006","004",RUA,,JUCELINO KUBITSCHEK DE OLIVEIRA,"15","15"
"352940105000021","007","001",RUA,VICE PRESIDENTE,FRANCISCO SILVIANO ALVES BRANDAO,"1","1"
"352940105000021","007","002",RUA,MARECHAL,DEODORO DA FONSECA,"0","0"
"352940105000021","007","003",RUA,PRESIDENTE,NEREU RAMOS,"0","0"
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022",,,,,,,
"352940105000022","001","002",RUA,,RITA LIMA DO VALE NOGUEIRA,"18","19"
"352940105000022","001","003",RUA,,BENEDITA MARIA DE JESUS,"0","0"
"352940105000022","001","004",AVENIDA,,MANOEL DA NOBREGA,"0","0"
